Watching for file changes with StatReloader
Waiting for apps ready_event.
Apps ready_event triggered. Sending autoreload_started signal.
Watching dir C:\Python36-32\classproject\locale with glob **/*.mo.
Watching dir C:\Python36-32\classproject\onlineapp\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\debug_toolbar\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\rest_framework\locale with glob **/*.mo.
Watching dir C:\Python36-32\lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.016) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.000) SHOW FULL TABLES; args=None
(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
File C:\Python36-32\Lib\os.py first seen with mtime 1520973474.0
File C:\Python36-32\classproject\onlineapp\views\login.py first seen with mtime 1560243602.5061057
File C:\Python36-32\Lib\site-packages\django\contrib\staticfiles\templatetags\staticfiles.py first seen with mtime 1559798514.2526445
File C:\Python36-32\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1559798515.2289665
File C:\Python36-32\Lib\site-packages\debug_toolbar\panels\profiling.py first seen with mtime 1559870566.68868
File C:\Python36-32\DLLs\pyexpat.pyd first seen with mtime 1522233562.0
File C:\Python36-32\Lib\heapq.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\MySQLdb\constants\FLAG.py first seen with mtime 1559802013.3857198
File C:\Python36-32\Lib\site-packages\requests\status_codes.py first seen with mtime 1558526741.61008
File C:\Python36-32\Lib\unittest\suite.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\ctypes\_endian.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1559798514.4126654
File C:\Python36-32\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1559798490.212411
File C:\Python36-32\Lib\site-packages\django\core\files\move.py first seen with mtime 1559798514.4846737
File C:\Python36-32\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1559798514.886853
File C:\Python36-32\Lib\email\mime\nonmultipart.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\django\apps\config.py first seen with mtime 1559798485.5141337
File C:\Python36-32\Lib\site-packages\django\shortcuts.py first seen with mtime 1559798485.507133
File C:\Python36-32\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1559798515.573688
File C:\Python36-32\DLLs\_bz2.pyd first seen with mtime 1522233570.0
File C:\Python36-32\Lib\posixpath.py first seen with mtime 1520973474.0
File C:\Python36-32\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1559798489.333358
File C:\Python36-32\Lib\platform.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\chardet\version.py first seen with mtime 1558526746.585879
File C:\Python36-32\Lib\site-packages\django\db\models\base.py first seen with mtime 1559798515.301776
File C:\Python36-32\Lib\io.py first seen with mtime 1497709638.0
File C:\Python36-32\classproject\onlineapp\views\addstudent.py first seen with mtime 1560425509.68174
File C:\Python36-32\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1559798514.7488718
File C:\Python36-32\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1559798515.0031102
File C:\Python36-32\Lib\site-packages\pkg_resources\_vendor\packaging\_structures.py first seen with mtime 1528086761.309269
File C:\Python36-32\Lib\site-packages\django\test\testcases.py first seen with mtime 1559798516.640299
File C:\Python36-32\Lib\decimal.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1559798525.1661043
File C:\Python36-32\Lib\site-packages\chardet\langbulgarianmodel.py first seen with mtime 1558526746.5077207
File C:\Python36-32\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1559798488.5443118
File C:\Python36-32\Lib\_bootlocale.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\urllib3\packages\rfc3986\validators.py first seen with mtime 1558526745.1263294
File C:\Python36-32\Lib\site-packages\MySQLdb\__init__.py first seen with mtime 1559802013.253704
File C:\Python36-32\Lib\optparse.py first seen with mtime 1497709638.0
File C:\Python36-32\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1558526745.157649
File C:\Python36-32\Lib\site-packages\urllib3\packages\rfc3986\uri.py first seen with mtime 1558526745.110708
File C:\Python36-32\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1559798488.573315
File C:\Python36-32\Lib\site-packages\django\urls\utils.py first seen with mtime 1559798516.715548
File C:\Python36-32\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1559798514.422666
